"","Year","CA","Value","CPP","FG","Indicator","Type"
"1","2008/09","S12000005",87.5420875420875,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"2","2008/09","S12000006",89.4736842105263,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"3","2008/09","S12000008",88.0686055182699,"East Ayrshire",4,"Healthy Birthweight","Raw"
"4","2008/09","S12000010",89.8063200815494,"East Lothian",2,"Healthy Birthweight","Raw"
"5","2008/09","S12000011",89.2993630573248,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"6","2008/09","S12000013",85.2320675105485,"Eilean Siar",4,"Healthy Birthweight","Raw"
"7","2008/09","S12000014",89.3557422969188,"Falkirk",3,"Healthy Birthweight","Raw"
"8","2008/09","S12000017",89.640768588137,"Highland",2,"Healthy Birthweight","Raw"
"9","2008/09","S12000018",88.9705882352941,"Inverclyde",4,"Healthy Birthweight","Raw"
"10","2008/09","S12000019",86.3145258103241,"Midlothian",2,"Healthy Birthweight","Raw"
"11","2008/09","S12000020",91.4012738853503,"Moray",2,"Healthy Birthweight","Raw"
"12","2008/09","S12000021",88.8335704125178,"North Ayrshire",4,"Healthy Birthweight","Raw"
"13","2008/09","S12000023",90.7692307692308,"Orkney Islands",1,"Healthy Birthweight","Raw"
"14","2008/09","S12000026",89.7196261682243,"Scottish Borders",2,"Healthy Birthweight","Raw"
"15","2008/09","S12000027",88.9795918367347,"Shetland Islands",1,"Healthy Birthweight","Raw"
"16","2008/09","S12000028",89.7584541062802,"South Ayrshire",3,"Healthy Birthweight","Raw"
"17","2008/09","S12000029",89.0740740740741,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"18","2008/09","S12000030",88.625,"Stirling",2,"Healthy Birthweight","Raw"
"19","2008/09","S12000033",89.6039603960396,"Aberdeen City",1,"Healthy Birthweight","Raw"
"20","2008/09","S12000034",89.1230711328566,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"21","2008/09","S12000035",89.1745602165088,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"22","2008/09","S12000036",87.7668782458165,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"23","2008/09","S12000038",90.1453957996769,"Renfrewshire",3,"Healthy Birthweight","Raw"
"24","2008/09","S12000039",89.4634146341463,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"25","2008/09","S12000040",87.437641723356,"West Lothian",3,"Healthy Birthweight","Raw"
"26","2008/09","S12000041",90.5511811023622,"Angus",2,"Healthy Birthweight","Raw"
"27","2008/09","S12000042",89.5930232558139,"Dundee City",4,"Healthy Birthweight","Raw"
"28","2008/09","S12000045",88.1606765327696,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"29","2008/09","S12000047",86.7254469752633,"Fife",3,"Healthy Birthweight","Raw"
"30","2008/09","S12000048",88.7121212121212,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"31","2008/09","S12000049",89.2420877290394,"Glasgow City",4,"Healthy Birthweight","Raw"
"32","2008/09","S12000050",88.8773388773389,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"33","2009/10","S12000005",89.247311827957,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"34","2009/10","S12000006",89.290780141844,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"35","2009/10","S12000008",89.7035881435257,"East Ayrshire",4,"Healthy Birthweight","Raw"
"36","2009/10","S12000010",89.3453145057766,"East Lothian",2,"Healthy Birthweight","Raw"
"37","2009/10","S12000011",88.556566970091,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"38","2009/10","S12000013",85.981308411215,"Eilean Siar",4,"Healthy Birthweight","Raw"
"39","2009/10","S12000014",88.3565459610028,"Falkirk",3,"Healthy Birthweight","Raw"
"40","2009/10","S12000017",89.5814781834372,"Highland",2,"Healthy Birthweight","Raw"
"41","2009/10","S12000018",89.6464646464647,"Inverclyde",4,"Healthy Birthweight","Raw"
"42","2009/10","S12000019",88.6091127098321,"Midlothian",2,"Healthy Birthweight","Raw"
"43","2009/10","S12000020",89.8803046789989,"Moray",2,"Healthy Birthweight","Raw"
"44","2009/10","S12000021",89.0857547838412,"North Ayrshire",4,"Healthy Birthweight","Raw"
"45","2009/10","S12000023",86.9565217391304,"Orkney Islands",1,"Healthy Birthweight","Raw"
"46","2009/10","S12000026",89.433237271854,"Scottish Borders",2,"Healthy Birthweight","Raw"
"47","2009/10","S12000027",90.8424908424908,"Shetland Islands",1,"Healthy Birthweight","Raw"
"48","2009/10","S12000028",89.9793388429752,"South Ayrshire",3,"Healthy Birthweight","Raw"
"49","2009/10","S12000029",88.3349312879514,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"50","2009/10","S12000030",89.8823529411765,"Stirling",2,"Healthy Birthweight","Raw"
"51","2009/10","S12000033",90.0517309988062,"Aberdeen City",1,"Healthy Birthweight","Raw"
"52","2009/10","S12000034",89.748267055819,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"53","2009/10","S12000035",89.4594594594595,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"54","2009/10","S12000036",89.6532542184313,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"55","2009/10","S12000038",89.5227646736149,"Renfrewshire",3,"Healthy Birthweight","Raw"
"56","2009/10","S12000039",87.01171875,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"57","2009/10","S12000040",90.2325581395349,"West Lothian",3,"Healthy Birthweight","Raw"
"58","2009/10","S12000041",90.4007455731594,"Angus",2,"Healthy Birthweight","Raw"
"59","2009/10","S12000042",89.3255131964809,"Dundee City",4,"Healthy Birthweight","Raw"
"60","2009/10","S12000045",88.6813186813187,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"61","2009/10","S12000047",88.9165009940358,"Fife",3,"Healthy Birthweight","Raw"
"62","2009/10","S12000048",88.8332140300644,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"63","2009/10","S12000049",88.6111861659011,"Glasgow City",4,"Healthy Birthweight","Raw"
"64","2009/10","S12000050",88.9477869069706,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"65","2010/11","S12000005",89.4824707846411,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"66","2010/11","S12000006",87.7834674469642,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"67","2010/11","S12000008",89.9843505477308,"East Ayrshire",4,"Healthy Birthweight","Raw"
"68","2010/11","S12000010",89.5981087470449,"East Lothian",2,"Healthy Birthweight","Raw"
"69","2010/11","S12000011",89.1414141414141,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"70","2010/11","S12000013",90.1960784313726,"Eilean Siar",4,"Healthy Birthweight","Raw"
"71","2010/11","S12000014",89.5662368112544,"Falkirk",3,"Healthy Birthweight","Raw"
"72","2010/11","S12000017",90.438939591482,"Highland",2,"Healthy Birthweight","Raw"
"73","2010/11","S12000018",92.4281984334204,"Inverclyde",4,"Healthy Birthweight","Raw"
"74","2010/11","S12000019",89.5522388059701,"Midlothian",2,"Healthy Birthweight","Raw"
"75","2010/11","S12000020",90.2411021814007,"Moray",2,"Healthy Birthweight","Raw"
"76","2010/11","S12000021",88.0306193458594,"North Ayrshire",4,"Healthy Birthweight","Raw"
"77","2010/11","S12000023",90.3225806451613,"Orkney Islands",1,"Healthy Birthweight","Raw"
"78","2010/11","S12000026",89.5393474088292,"Scottish Borders",2,"Healthy Birthweight","Raw"
"79","2010/11","S12000027",91.1392405063291,"Shetland Islands",1,"Healthy Birthweight","Raw"
"80","2010/11","S12000028",89.5635673624288,"South Ayrshire",3,"Healthy Birthweight","Raw"
"81","2010/11","S12000029",89.3329234552721,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"82","2010/11","S12000030",88.4758364312268,"Stirling",2,"Healthy Birthweight","Raw"
"83","2010/11","S12000033",89.8993808049536,"Aberdeen City",1,"Healthy Birthweight","Raw"
"84","2010/11","S12000034",90.4610492845787,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"85","2010/11","S12000035",89.9713467048711,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"86","2010/11","S12000036",89.9533548618586,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"87","2010/11","S12000038",89.7814207650273,"Renfrewshire",3,"Healthy Birthweight","Raw"
"88","2010/11","S12000039",90.3128153380424,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"89","2010/11","S12000040",89.5421436004162,"West Lothian",3,"Healthy Birthweight","Raw"
"90","2010/11","S12000041",89.2463235294118,"Angus",2,"Healthy Birthweight","Raw"
"91","2010/11","S12000042",90.7004830917874,"Dundee City",4,"Healthy Birthweight","Raw"
"92","2010/11","S12000045",88.2224645583424,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"93","2010/11","S12000047",87.717553455992,"Fife",3,"Healthy Birthweight","Raw"
"94","2010/11","S12000048",90.4458598726115,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"95","2010/11","S12000049",89.5602876106195,"Glasgow City",4,"Healthy Birthweight","Raw"
"96","2010/11","S12000050",88.3599339570721,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"97","2011/12","S12000005",88.2562277580071,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"98","2011/12","S12000006",90.0297619047619,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"99","2011/12","S12000008",88.9894419306184,"East Ayrshire",4,"Healthy Birthweight","Raw"
"100","2011/12","S12000010",90.3470715835141,"East Lothian",2,"Healthy Birthweight","Raw"
"101","2011/12","S12000011",90.0744416873449,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"102","2011/12","S12000013",85.3061224489796,"Eilean Siar",4,"Healthy Birthweight","Raw"
"103","2011/12","S12000014",88.6616014026885,"Falkirk",3,"Healthy Birthweight","Raw"
"104","2011/12","S12000017",88.8648180242634,"Highland",2,"Healthy Birthweight","Raw"
"105","2011/12","S12000018",89.9470899470899,"Inverclyde",4,"Healthy Birthweight","Raw"
"106","2011/12","S12000019",88.2214369846879,"Midlothian",2,"Healthy Birthweight","Raw"
"107","2011/12","S12000020",88.6946386946387,"Moray",2,"Healthy Birthweight","Raw"
"108","2011/12","S12000021",88.3369330453564,"North Ayrshire",4,"Healthy Birthweight","Raw"
"109","2011/12","S12000023",85.2040816326531,"Orkney Islands",1,"Healthy Birthweight","Raw"
"110","2011/12","S12000026",89.9795501022495,"Scottish Borders",2,"Healthy Birthweight","Raw"
"111","2011/12","S12000027",89.4957983193277,"Shetland Islands",1,"Healthy Birthweight","Raw"
"112","2011/12","S12000028",89.2462311557789,"South Ayrshire",3,"Healthy Birthweight","Raw"
"113","2011/12","S12000029",89.2368501064153,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"114","2011/12","S12000030",88.2783882783883,"Stirling",2,"Healthy Birthweight","Raw"
"115","2011/12","S12000033",89.9476831091181,"Aberdeen City",1,"Healthy Birthweight","Raw"
"116","2011/12","S12000034",90.3172641120725,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"117","2011/12","S12000035",89.8591549295775,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"118","2011/12","S12000036",89.7546897546897,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"119","2011/12","S12000038",89.8692810457516,"Renfrewshire",3,"Healthy Birthweight","Raw"
"120","2011/12","S12000039",90.1785714285714,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"121","2011/12","S12000040",90.1408450704225,"West Lothian",3,"Healthy Birthweight","Raw"
"122","2011/12","S12000041",89.4691035683203,"Angus",2,"Healthy Birthweight","Raw"
"123","2011/12","S12000042",88.9602803738318,"Dundee City",4,"Healthy Birthweight","Raw"
"124","2011/12","S12000045",88.7731481481482,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"125","2011/12","S12000047",88.5375494071146,"Fife",3,"Healthy Birthweight","Raw"
"126","2011/12","S12000048",86.9877785765636,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"127","2011/12","S12000049",89.3841166936791,"Glasgow City",4,"Healthy Birthweight","Raw"
"128","2011/12","S12000050",88.1806108897742,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"129","2012/13","S12000005",87.1750433275563,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"130","2012/13","S12000006",88.6066204772902,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"131","2012/13","S12000008",88.79173290938,"East Ayrshire",4,"Healthy Birthweight","Raw"
"132","2012/13","S12000010",89.524838012959,"East Lothian",2,"Healthy Birthweight","Raw"
"133","2012/13","S12000011",89.0243902439024,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"134","2012/13","S12000013",84.8484848484848,"Eilean Siar",4,"Healthy Birthweight","Raw"
"135","2012/13","S12000014",89.6278218425869,"Falkirk",3,"Healthy Birthweight","Raw"
"136","2012/13","S12000017",89.5089285714286,"Highland",2,"Healthy Birthweight","Raw"
"137","2012/13","S12000018",90.1333333333333,"Inverclyde",4,"Healthy Birthweight","Raw"
"138","2012/13","S12000019",89.8989898989899,"Midlothian",2,"Healthy Birthweight","Raw"
"139","2012/13","S12000020",91.6188289322618,"Moray",2,"Healthy Birthweight","Raw"
"140","2012/13","S12000021",87.7055599060298,"North Ayrshire",4,"Healthy Birthweight","Raw"
"141","2012/13","S12000023",86.0103626943005,"Orkney Islands",1,"Healthy Birthweight","Raw"
"142","2012/13","S12000026",89.1783567134269,"Scottish Borders",2,"Healthy Birthweight","Raw"
"143","2012/13","S12000027",88.0434782608696,"Shetland Islands",1,"Healthy Birthweight","Raw"
"144","2012/13","S12000028",89.6273917421954,"South Ayrshire",3,"Healthy Birthweight","Raw"
"145","2012/13","S12000029",89.0515595162317,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"146","2012/13","S12000030",88.4517766497462,"Stirling",2,"Healthy Birthweight","Raw"
"147","2012/13","S12000033",89.8373983739837,"Aberdeen City",1,"Healthy Birthweight","Raw"
"148","2012/13","S12000034",89.1881028938907,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"149","2012/13","S12000035",88.7323943661972,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"150","2012/13","S12000036",90.0780379041249,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"151","2012/13","S12000038",89.3409742120344,"Renfrewshire",3,"Healthy Birthweight","Raw"
"152","2012/13","S12000039",88.6203423967774,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"153","2012/13","S12000040",89.5101171458999,"West Lothian",3,"Healthy Birthweight","Raw"
"154","2012/13","S12000041",88.7170154686078,"Angus",2,"Healthy Birthweight","Raw"
"155","2012/13","S12000042",90.8373786407767,"Dundee City",4,"Healthy Birthweight","Raw"
"156","2012/13","S12000045",89.9543378995434,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"157","2012/13","S12000047",88.3935637035083,"Fife",3,"Healthy Birthweight","Raw"
"158","2012/13","S12000048",90.4376012965964,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"159","2012/13","S12000049",88.7383114243122,"Glasgow City",4,"Healthy Birthweight","Raw"
"160","2012/13","S12000050",89.3687707641196,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"161","2013/14","S12000005",90.3288201160542,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"162","2013/14","S12000006",90.8212560386473,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"163","2013/14","S12000008",89.5076674737692,"East Ayrshire",4,"Healthy Birthweight","Raw"
"164","2013/14","S12000010",90.391061452514,"East Lothian",2,"Healthy Birthweight","Raw"
"165","2013/14","S12000011",86.7730900798176,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"166","2013/14","S12000013",90.0826446280992,"Eilean Siar",4,"Healthy Birthweight","Raw"
"167","2013/14","S12000014",89.3382352941177,"Falkirk",3,"Healthy Birthweight","Raw"
"168","2013/14","S12000017",89.5124195032199,"Highland",2,"Healthy Birthweight","Raw"
"169","2013/14","S12000018",92.8077455048409,"Inverclyde",4,"Healthy Birthweight","Raw"
"170","2013/14","S12000019",89.1803278688525,"Midlothian",2,"Healthy Birthweight","Raw"
"171","2013/14","S12000020",89.7435897435898,"Moray",2,"Healthy Birthweight","Raw"
"172","2013/14","S12000021",89.1129032258064,"North Ayrshire",4,"Healthy Birthweight","Raw"
"173","2013/14","S12000023",91.1111111111111,"Orkney Islands",1,"Healthy Birthweight","Raw"
"174","2013/14","S12000026",89.7435897435898,"Scottish Borders",2,"Healthy Birthweight","Raw"
"175","2013/14","S12000027",90.7894736842105,"Shetland Islands",1,"Healthy Birthweight","Raw"
"176","2013/14","S12000028",88.9237199582027,"South Ayrshire",3,"Healthy Birthweight","Raw"
"177","2013/14","S12000029",90.3446033810143,"South Lanarkshire",3,"Healthy Birthweight","Raw"
"178","2013/14","S12000030",87.7450980392157,"Stirling",2,"Healthy Birthweight","Raw"
"179","2013/14","S12000033",90.1852581789515,"Aberdeen City",1,"Healthy Birthweight","Raw"
"180","2013/14","S12000034",89.5719844357977,"Aberdeenshire",1,"Healthy Birthweight","Raw"
"181","2013/14","S12000035",86.046511627907,"Argyll and Bute",2,"Healthy Birthweight","Raw"
"182","2013/14","S12000036",90.8144958736993,"Edinburgh, City of",1,"Healthy Birthweight","Raw"
"183","2013/14","S12000038",89.1764705882353,"Renfrewshire",3,"Healthy Birthweight","Raw"
"184","2013/14","S12000039",87.089715536105,"West Dunbartonshire",4,"Healthy Birthweight","Raw"
"185","2013/14","S12000040",90.8174097664543,"West Lothian",3,"Healthy Birthweight","Raw"
"186","2013/14","S12000041",89.5454545454545,"Angus",2,"Healthy Birthweight","Raw"
"187","2013/14","S12000042",90.150032615786,"Dundee City",4,"Healthy Birthweight","Raw"
"188","2013/14","S12000045",87.8125,"East Dunbartonshire",1,"Healthy Birthweight","Raw"
"189","2013/14","S12000047",88.2290562036055,"Fife",3,"Healthy Birthweight","Raw"
"190","2013/14","S12000048",88.5556432517758,"Perth and Kinross",1,"Healthy Birthweight","Raw"
"191","2013/14","S12000049",89.6694214876033,"Glasgow City",4,"Healthy Birthweight","Raw"
"192","2013/14","S12000050",89.7301762114538,"North Lanarkshire",4,"Healthy Birthweight","Raw"
"193","2014/15","S12000005",88.8675623800384,"Clackmannanshire",3,"Healthy Birthweight","Raw"
"194","2014/15","S12000006",91.2933220625528,"Dumfries and Galloway",3,"Healthy Birthweight","Raw"
"195","2014/15","S12000008",89.5920066611157,"East Ayrshire",4,"Healthy Birthweight","Raw"
"196","2014/15","S12000010",90.1522842639594,"East Lothian",2,"Healthy Birthweight","Raw"
"197","2014/15","S12000011",88.05256869773,"East Renfrewshire",1,"Healthy Birthweight","Raw"
"198","2014/15","S12000013",87.4371859296482,"Eilean Siar",4,"Healthy Birthweight","Raw"
"199","2014/15","S12000014",89.7513644633111,"Falkirk",3,"Healthy Birthweight","Raw"
"200","2014/15","S12000017",88.559708295351,"Highland",2,"Healthy Birthweight","Raw"
"201","2014/15","S12000018",90.1875901875902,"Inverclyde",4,"Healthy Birthweight","Raw"
"202","2014/15","S12000019",89.7177419354839,"Midlothian",2,"Healthy Birthweight","Raw"
"203","2014/15","S12000020",90.0237529691211,"Moray",2,"Healthy Birthweight","Raw"
"204","2014/15","S12000021",89.2568659127625,"North Ayrshire",4,"Healthy Birthweight","Raw"
"205","2014/15","S12000023",91.1764705882353,"Orkney Islands",1,"Healthy Birthweight","Raw"
"206","2014/15","S12000026",89.7522522522522,"Scottish Borders",2,"Healthy Birthweight","Raw"
"207","2014/15","S12000027",88.4297520661157,"Shetland Islands",1,"Healthy Birthweight","Raw"
"208","2014/15","S12000028",89.4995093228655,"South Ayrshire",3,"Healthy Birthweight","Raw"
